"GeoName","Year","Real GDP (millions of chained 2017 dollars) 1/","Chain-type quantity indexes for real GDP","Current-dollar GDP (millions of current dollars)","Compensation (millions of dollars)","Gross operating surplus (millions of dollars)","Taxes on production and imports (TOPI) less subsides (millions of dollars)","Taxes on production and imports (TOPI) (millions of dollars)","Subsidies (millions of dollars)"
"United States","2000",14096033,71.874,10250952,5854629,3733603,662716,708555,-45840
"United States","2001",14230726,72.561,10581929,6046343,3866608,668980,727690,-58710
"United States","2002",14472712,73.795,10929108,6143368,4067108,718634,760031,-41396
"United States","2003",14877312,75.858,11456450,6362296,4337596,756559,805617,-49057
"United States","2004",15449757,78.777,12217196,6729301,4666186,821711,868098,-46386
"United States","2005",15987957,81.521,13039197,7077721,5079951,881527,942437,-60911
"United States","2006",16433148,83.791,13815583,7491255,5378760,945572,997040,-51467
"United States","2007",16762445,85.47,14474228,7889369,5602614,982245,1036830,-54584
"United States","2008",16781485,85.567,14769862,8068679,5703999,997183,1049740,-52557
"United States","2009",16349110,83.362,14478067,7767191,5742406,968470,1026819,-58347
"United States","2010",16789750,85.609,15048971,7932969,6108737,1007265,1063074,-55808
"United States","2011",17052410,86.948,15599732,8234013,6322003,1043716,1103724,-60008
"United States","2012",17442759,88.939,16253970,8575371,6600522,1078077,1136116,-58037
"United States","2013",17812167,90.822,16880683,8843638,6910942,1126103,1185823,-59720
"United States","2014",18261714,93.115,17608138,9259655,7168861,1179622,1237712,-58090
"United States","2015",18799622,95.857,18295019,9709535,7369222,1216262,1273452,-57192
"United States","2016",19141672,97.601,18804913,9977096,7580439,1247378,1309125,-61748
"United States","2017",19612102,100,19612102,10434978,7873027,1304097,1363972,-59875
"United States","2018",20193896,102.967,20656516,10967687,8295055,1393774,1457093,-63320
"United States","2019",20715671,105.627,21539982,11458472,8620834,1460676,1533631,-72956
"United States","2020",20267585,103.342,21354105,11604034,8927314,822756,1521264,-698509
"United States","2021",21494798,109.6,23681171,12568208,10022741,1090222,1700088,-609867
"United States","2022",22034828,112.353,26006893,13454101,10830542,1722249,1850245,-127997
"United States","2023",22671096,115.597,27720709,14209569,11720838,1790303,1893108,-102808
"United States","1997",12370299,63.075,8577552,4713220,3286528,577804,611614,-33810
"United States","1998",12924876,65.903,9062817,5075701,3384009,603105,639472,-36368
"United States","1999",13543774,69.058,9631172,5409932,3592861,628376,673584,-45209
"Alabama","2000",168695.3,77.878,120522.6,69762.3,43268.2,7492.1,7863.9,-371.8
"Alabama","2001",168448.3,77.764,123534.5,72035.2,43974.7,7524.7,8003.8,-479.2
