"State","Year","From State government1","Taxes","Property","Sales and gross receipts","General sales","Selective sales","Motor fuel","Alcoholic beverage","Tobacco products","Public utilities","Other selective sales","Individual income","Corporate income","Motor vehicle license","Other taxes","Charges and miscellaneous general revenue","Current charges","Education","School lunch sales (gross)","Hospitals","Highways","Air transportation (airports)","Parking facilities","Sea and inland port facilities","Natural resources","Parks and recreation","Housing and community development","Sewerage","Solid waste management","Other charges","Capital outlay","Higher education","Elementary & secondary","Other education","Libraries","Public welfare","Cash assistance payments","Vendor payments","Other public welfare","Health","Veterans' services","Police protection","Debt outstanding","Employment security administration"
"Alabama","2011","0","8631984","315698","4575127","2174639","2400488","548265","167871","136611","772003","775738","2795906","301178","199970","444105","5759734","4452308","2850068","0","1331583","950","0","0","121533","15619","27909","14217","0","7734","82695","1920251","4965533","0","802284","3700","5862446","119605","5204093","538748","567300","6735","155087","9067280",NA
"Alaska","2011","0","5537679","184254","256014","0","256014","39617","35747","70918","3923","105809","0","720733","58285","4318393","4087319","586262","200020","0","3277","61776","109294","0","0","21197","2637","7968","0","0","180093","1218201","791508","505894","112057","5759","1849769","164322","1446644","238803","185957","4001","94310","6417682",NA
"Arizona","2011","0","12265219","758304","7623409","5874113","1749296","774633","63365","327800","23047","560451","2863658","560236","202588","257024","3840200","2277144","1976409","0","0","10827","661","0","0","19894","19141","3557","0","3269","243386","1648490","3328964","0","736797","420","8890284","106309","7673153","1110822","1723199","8402","229150","14163076",NA
"Arkansas","2011","0","7952824","961130","3876982","2736946","1140036","468525","46781","245290","0","379440","2270383","376874","143329","324126","3165081","2319881","1161953","0","967432","25649","31","0","0","20314","24038","803","0","6","119655","898800","2415979","0","668283","3564","4493896","15953","3873442","604501","277407","4804","97386","3748749",NA
"California","2011","0","119164086","3207301","47616459","33465174","14151285","5705527","334178","905245","790501","6415834","50508441","9613594","3090610","5127681","25998608","16701739","7258220","0","6542258","38490","0","12261","0","1297670","96167","487","0","0","1456186","7881389","23805580","333790","4821105","18447","51159027","0","45298579","5860448","1326787","10915","1597984","149670954",NA
"Colorado","2011","0","9467684","0","3797370","2173882","1623488","622822","37014","199042","11568","753042","4540586","383513","420736","325479","5388652","3333064","2692070","0","428217","4184","0","0","0","19479","17676","9437","0","3684","158317","1698455","4386974","0","493646","4767","4036983","0","3542085","494898","1147195","1777","129840","16335260",NA
"Connecticut","2011","0","13694884","0","5573625","3299896","2273729","477772","48923","400562","277640","1068832","6469246","913013","162608","576392","3514659","2096873","1360414","0","448636","882","40319","0","250","1651","6498","6079","0","132067","100077","1522409","2634179","2861","619575","14121","6042611","214502","4752515","1075594","663402","3232","201917","30523708",NA
"Delaware","2011","0","3047022","0","493195","0","493195","113753","16883","128935","58753","174871","962321","290482","50031","1250993","2400915","1134111","721176","0","14417","167246","0","0","31890","2139","11136","3776","0","64465","117866","666590","1069356","0","331298","5808","1754169","39317","1407831","307021","369248","0","111154","5807957",NA
"District of Columbia","2011","0","5413507","1767765","1436505","1014901","421604","30001","5630","34405","210565","141003","1296598","359684","33396","519559","1581345","633417","31393","434","113570","102","0","30939","0","0","25487","30437","246893","5101","149495","2290040","167678","2174626","0","77724","2833753","176890","2184270","472593","395480","0","591030","11276535",NA
"Florida","2011","0","31634260","320","26181186","18378130","7803056","2268475","560163","394276","3122370","1457772","0","1869870","1253518","2329366","14927990","9034401","2705506","0","615722","1110149","0","0","0","76630","42374","0","0","24491","4459529","5059074","6453315","0","2825439","11506","22189970","170305","19883510","2136155","3740222","6982","438913","43471755",NA
"Georgia","2011","0","16003250","76704","7108662","5080777","2027885","932703","161803","228858","0","704521","7658782","670410","296786","191906","5878460","3922860","2988916","0","225160","30247","14","0","266514","32620","122959","1547","0","0","254883","2639401","6240534","0","2191496","0","9911362","163689","8682889","1064784","932247","38014","285215","13402568",NA
"Hawaii","2011","0","4857729","0","3335562","2495807","839755","95310","48054","125797","117940","452654","1247291","67859","104923","102094","2302787","1594879","497510","27385","526807","0","337653","2603","85065","18482","9274","35618","0","0","81867","862111","1311756","1938425","94953","35696","2086398","43210","1653676","389512","582603","2021","31479","7912833",NA
"Idaho","2011","0","3261722","0","1616206","1187070","429136","238983","7934","49505","2430","130284","1169247","170214","134108","171947","1277716","801841","430688","0","71170","7399","0","0","0","57705","7215","14224","0","0","213440","691443","886019","0","150735","4670","2174866","87783","1896469","190614","155660","0","49741","3928080",NA
"Illinois","2011","0","30880437","58273","13613627","7420829","6192798","1314194","268276","588262","1844536","2177530","11717504","2805458","1608090","1077485","9181876","4731611","3259801","0","627453","673399","0","0","0","12674","9223","25769","0","0","123292","3869412","5934265","0","1454932","4662","16808674","244719","13449812","3114143","2135077","65898","401227","64801423",NA
"Indiana","2011","0","14909279","0","8831812","6269721","2562091","775295","43494","470248","208568","1064486","4583977","717207","333511","442772","5682176","3709260","3508590","0","49","1174","0","0","9136","46594","22562","15157","0","0","105998","2268396","5521841","0","1009527","7169","8377155","212102","6929216","1235837","522889","1125","205772","22144251",NA
"Iowa","2011","0","7236476","0","3326415","2232028","1094387","447992","14273","226693","0","405429","2851449","250272","500775","307565","3816894","2629644","1325903","0","1068883","5710","952","0","0","41753","4317","14989","0","4423","162714","1449045","2587002","0","413207","2973","4727867","268510","4037821","421536","134207","20008","91304","7573811",NA
"Kansas","2011","0","6797501","71876","3332967","2487499","845468","436855","113247","102496","448","192422","2689843","246518","188281","268016","3249816","2369426","962022","0","1147716","88684","0","0","0","35151","5646","6268","0","0","123939","1088586","2073061","0","263173","3329","3530164","63926","3045482","420756","283645","4809","92604","6893030",NA
"Kentucky","2011","0","10198800","514814","4894347","2896252","1998095","732826","113252","299701","62286","790030","3417779","516523","203492","651845","4344381","3087125","1743943","0","1030947","3671","849","0","0","52287","59460","11721","0","0","184247","2041224","3772845","610644","936888","7522","7181152","121350","6104972","954830","609972","0","169348","14751471",NA
"Louisiana","2011","0","8865421","51791","5131210","2812804","2318406","607540","55948","142064","10569","1502285","2403956","196732","104926","976806","5540685","3299702","1328869","0","1282368","37460","1782","0","63224","270026","77271","2171","0","0","236531","2631116","3138128","387046","806880","10638","6305267","237038","5359026","709203","597955","7953","320559","18447200",NA
"Maine","2011","0","3675810","45514","1682645","1010241","672404","239446","17464","145229","31886","238379","1420982","208997","97726","219946","1331888","791648","454944","0","3341","112570","77","0","87","13345","5828","9064","0","17020","175372","492329","794851","12141","220433","4195","2888043","146206","2328720","413117","445881","249","69597","5904221",NA
"Maryland","2011","0","16031165","793304","6654014","3896700","2757314","752171","30434","407570","131566","1435573","6644962","775845","444133","718907","5632360","3249877","2062177","0","164468","351480","194025","0","44245","13109","28248","7873","111148","174","272930","2605932","4189299","42","677346","15715","9273448","1292713","6906550","1074185","1154769","6218","454115","25250138",NA
"Massachusetts","2011","0","22087198","6167","7106364","4920521","2185843","660829","73661","577360","24132","849861","11597152","1931571","378084","1067860","8798634","4576524","2555313","78","1078","467802","550715","0","70709","39164","57297","2415","386662","0","445369","3083853","4644333","11487","1074831","14819","14422124","413391","12868083","1140650","1095332","67326","693050","79902558",NA
"Michigan","2011","0","23821872","1970274","13112010","9657800","3454210","963507","143213","969676","28059","1349755","6417078","728842","894900","698768","11272877","7395302","4767752","0","2413142","25601","546","0","0","34225","5184","8148","0","0","140704","2246088","8520882","42148","966262","8525","12070654","529779","10159591","1381284","1022623","0","254506","30975273",NA
"Minnesota","2011","0","18952919","774891","8235683","4657395","3578288","847897","77850","421665","49","2230827","7482396","1003657","583498","872794","4679277","2782199","2398139","0","158152","11","0","0","0","61622","26384","17371","0","0","120520","1617046","4405616","0","998489","22","10337241","342748","9301561","692932","441174","20986","296091","12896921",NA
"Mississippi","2011","0","6549779","24454","4217623","2969375","1248248","417088","42128","157569","1903","629560","1397578","347963","129078","433083","2366581","1764127","839591","0","699545","2918","0","0","16399","46413","9228","2886","0","0","147147","1255919","1872578","0","387552","2966","5144676","59847","4600873","483956","382447","9562","97229","6768371",NA
"Alabama","2012","0","9049294","321530","4626357","2274658","2351699","541499","173251","126151","736533","774265","3017437","413253","201875","468842","4902593","3761561","2065662","0","1446088","750","91","0","144686","5367","1389","13933","0","6574","77021","1933244","4600954","0","1922702","3669","7692033","1529522","5549654","612857","528258","11029","115031","8719430","100529"
"Alaska","2012","0","7049398","215407","248432","0","248432","40980","40230","67382","4114","95726","0","663144","58196","5864219","4408645","602391","183793","0","3775","64485","107283","0","9","24827","3029","8587","0","0","206603","1295382","879398","470804","119050","8142","1940864","167059","1537567","236238","190154","4544","120605","5909456","43920"
"Arizona","2012","0","12996421","754428","8066124","6210756","1855368","896983","68379","319467","21339","549200","3093904","647809","169370","264786","4761544","3207779","1709189","0","1162778","9242","689","0","0","25064","21496","4220","0","3021","272080","1626118","3434172","0","856406","1065","7934285","89883","6679315","1165087","1877703","10038","229066","14507370","96683"
"Arkansas","2012","0","8287744","1008707","3982832","2809416","1173416","467055","48803","246976","0","410582","2401902","404083","154095","336125","2882344","2030258","865903","0","898005","4819","16","0","0","23016","24139","276","0","62","214022","1064880","2642831","0","573504","3844","5062850","17354","4514841","530655","246035","1258","111890","3655727","98774"
"California","2012","0","115178568","2079878","41341188","31253629","10087559","5544530","346000","895677","766361","2534991","55024435","7949000","3529137","5254930","26754277","16705152","7136496","0","6834859","36033","0","9001","0","1090961","104086","434","0","0","1493282","10150635","25536594","325152","4931406","19644","44031812","0","39054834","4976978","1386882","8516","1528711","153528617","504340"
"Colorado","2012","0","10262977","0","4090645","2302333","1788312","630573","38817","203399","11974","903549","4875627","492224","455744","348737","5101014","3007776","2303483","0","483928","4454","0","0","0","20430","18786","8854","0","5577","162264","1591023","4467064","0","631778","4755","4661182","0","4228611","432571","894792","1583","134413","16069322","67999"
"Connecticut","2012","0","15480865","0","6757964","3758881","2999083","487104","60595","418231","331015","1702138","7371189","625320","209109","517283","3708746","2090599","1139020","0","315891","8137","43679","6633","219","36299","24696","15943","0","132043","368039","1706499","2511681","0","649665","11255","5956581","207430","4911261","837890","619937","31828","208263","31965511","19700"
"Delaware","2012","0","3280185","0","491044","0","491044","112908","17654","120850","59694","179938","1126014","262378","49601","1351148","2218245","1095173","723934","0","9273","169383","0","0","33965","1254","11674","8649","0","57652","79389","633675","1138862","0","348438","7852","1830706","44775","1522654","263277","395054","0","125019","5796853","18555"
"District of Columbia","2012","0","5960747","1877748","1541191","1111439","429752","22778","5166","35603","198372","167833","1490694","465896","37055","548163","1742599","660766","29421","668","114389","132","0","37847","0","0","22558","30025","262423","5218","158753","2319515","170483","2201171","0","65499","2864003","157338","2293345","413320","444072","0","563763","11602833","50825"
"Florida","2012","0","32997012","140","27267196","19403788","7863408","2273685","527016","381485","3162560","1518662","0","2003490","1305028","2421158","14953110","8985023","2242197","0","655601","1136017","0","0","0","93038","41953","0","0","24318","4791899","4814086","6649586","0","3071119","11241","21594057","192842","19638613","1762602","3766888","6990","529614","38174909","280865"
