GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "02000","Alaska",8,SAGDP3N,1,"...","All industry total ","Thousands of dollars",2400518,1943903,1920940,2453590,2267456,2085439,2199269,2407692,2749011,3091131,4791255,9993831,4568799,5724709,7236332,7717312,8251069,5488234,2830745,3186309,3649124,4242451,4153991,2039304,2816228,4729069,4553325
 "02000","Alaska",8,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",2433940,1969619,1947227,2481294,2297498,2122503,2238968,2449431,2795519,3140576,4843596,10044487,4627737,5788221,7299525,7773662,8306601,5559926,2898813,3250810,3702736,4297253,4207376,2136444,2932888,4876695,4666779
 "02000","Alaska",8,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",52361,29344,25860,43663,39492,28683,45023,36269,48954,62268,90053,148142,117870,164586,234474,241404,263276,213918,130965,105721,110561,115852,109319,40750,-1200,131557,130756
 "02000","Alaska",8,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",-327,-338,-624,-588,-1125,-771,-841,-3953,-3526,-1840,-2430,-2955,-3655,-6811,-8184,-8742,-8403,-6513,-7989,-10548,-4083,-9339,-9650,-10525,-16705,-11247,-5613
 "02000","Alaska",8,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",52688,29682,26484,44251,40617,29454,45864,40222,52480,64109,92483,151097,121525,171397,242658,250146,271680,220432,138954,116269,114644,125191,118969,51275,15505,142804,136369
 "02000","Alaska",8,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1301802,838135,753511,1165568,1116350,862731,958359,1069301,1386659,1676880,3220281,8283827,2867995,3840791,5181767,5656255,6057300,3189868,805552,1066291,1394767,1836641,1551164,1240419,1449777,1951659,1709154
 "02000","Alaska",8,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",1252467,784569,703298,1104929,1063947,813677,912823,1026274,1343918,1624371,3160902,8217727,2780927,3748425,5077377,5550449,5948747,3066917,706135,957781,1305774,1753533,1462461,1161140,1363108,1840667,1590960
 "02000","Alaska",8,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",12995,13258,13886,15065,12560,12159,12680,11536,12184,15308,17911,19983,24365,29484,40107,41723,44571,48510,35052,42967,45981,48930,50571,50590,53217,68902,71598
 "02000","Alaska",8,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",36340,40309,36327,45573,39843,36895,32857,31491,30557,37201,41467,46116,62703,62882,64284,64082,63981,74441,64366,65543,43012,34178,38131,28689,33452,42090,46596
 "02000","Alaska",8,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",37459,38238,39916,43754,40578,44315,47479,44928,41516,42187,44302,46365,56841,68720,84284,82543,84034,86257,65288,70048,85493,96230,102123,100672,107379,122608,128040
