GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "08000","Colorado",7,SAGDP3N,1,"...","All industry total ","Thousands of dollars",8084312,8696601,9353810,10172808,10380036,11140945,11051324,12073428,12906831,13742723,14634120,14707243,14322556,16733780,17334897,16334006,16926409,17881992,18553619,19683770,21285970,22862953,24449622,10688794,17315804,29256257,30925215
 "08000","Colorado",7,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",8241850,8841829,9510109,10336151,10546666,11323575,11250590,12282684,13152299,14001130,14902003,14979200,14646194,17020837,17673139,16671047,17310256,18277904,18931717,20099721,21711636,23303996,24935889,11564130,18227134,30387677,31858709
 "08000","Colorado",7,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-72954,-146227,-242901,-219596,-203936,-93312,-183847,-95221,-227580,-92884,-25195,-70859,-19487,-82928,-46064,-25011,-33791,-56819,-16085,-43819,-61767,-35110,-77283,-557273,-309027,-177865,47607
 "08000","Colorado",7,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",-81438,-154847,-252366,-228290,-212909,-102574,-193742,-106448,-238750,-105348,-39233,-86624,-33769,-100078,-63896,-40694,-50195,-71804,-31166,-59937,-79227,-54074,-99702,-556858,-321296,-200921,23777
 "08000","Colorado",7,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",8484,8621,9465,8693,8972,9262,9895,11226,11170,12464,14038,15765,14281,17149,17832,15683,16403,14984,15081,16118,17460,18965,22419,-414,12270,23056,23830
 "08000","Colorado",7,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",277983,287554,290033,310797,388371,371944,476405,698827,891000,1061887,1178123,1360130,1195576,1391709,1592480,1404023,1514917,1907055,1895786,1687831,1784849,1980392,2229866,2059891,2397096,3059337,2904398
 "08000","Colorado",7,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",192088,199944,189154,217276,291835,270495,360667,566229,727948,862151,968478,1123050,977249,1179971,1316747,1134832,1243023,1600908,1636241,1476326,1559210,1721996,1941525,1979581,2185601,2653291,2526371
 "08000","Colorado",7,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",74229,75252,89083,79250,82139,85197,97627,108779,126231,151216,141799,148705,149798,124298,171697,171359,173861,190465,147266,107263,115608,146478,172205,104162,192317,282194,240463
 "08000","Colorado",7,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",11667,12358,11796,14271,14397,16251,18111,23820,36821,48520,67846,88375,68529,87440,104037,97832,98034,115682,112280,104242,110031,111919,116136,-23851,19178,123852,137564
 "08000","Colorado",7,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",322289,321693,356363,352125,364555,394658,404208,443177,496218,578773,531157,563273,581300,724812,764196,703482,640790,660549,647092,683806,693956,734152,794945,790818,852946,930214,1019644
 "08000","Colorado",7,SAGDP3N,11,"23","  Construction ","Thousands of dollars",73707,88695,99894,115145,115933,119083,111163,123637,130794,126215,140978,126474,108211,145423,142389,123463,138219,141294,152708,167367,175635,193171,199067,-1544043,-557640,232458,243495
 "08000","Colorado",7,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",669980,765554,744245,841453,828551,839236,841083,847761,876343,750041,782592,786532,855274,979078,994316,879916,903012,863184,847952,866895,915661,933941,1005282,1148,438991,1036839,1046706
 "08000","Colorado",7,SAGDP3N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",169597,184261,197513,211453,244438,266874,255163,250883,254154,244359,266594,260273,277850,342304,354275,286314,328715,319930,331016,306338,336119,351143,396055,-198004,26478,430018,441532
 "08000","Colorado",7,SAGDP3N,14,"321","    Wood product manufacturing ","Thousands of dollars",3975,4219,4615,4979,4476,4682,4780,5394,5758,6367,7315,6943,5894,6264,6026,5155,5460,5027,5196,5634,6040,6430,7208,-7199,-169,9346,9601
 "08000","Colorado",7,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",13978,14923,16148,17643,16552,17477,16912,17273,17423,18177,21164,21582,21404,27672,27031,22232,21834,21494,21974,24084,26448,27953,30081,-16242,9611,31921,33716
 "08000","Colorado",7,SAGDP3N,16,"331","    Primary metal manufacturing ","Thousands of dollars",8053,7023,6261,6392,5987,6826,7027,10159,7555,7316,8982,9892,11943,14691,15893,13116,12410,11476,11116,10581,11928,13099,15380,-4900,12063,17895,18212
 "08000","Colorado",7,SAGDP3N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",16199,17324,18235,19134,18239,19792,19003,19377,18533,18519,21884,22040,22849,28231,31032,24076,34437,31642,30151,28826,32826,35260,42071,-110303,-57050,47022,45393
 "08000","Colorado",7,SAGDP3N,18,"333","    Machinery manufacturing ","Thousands of dollars",13692,15010,15254,16626,16962,18272,17493,17545,17831,18316,22548,24492,27982,35568,37999,31274,29941,27824,30211,34084,33768,36209,41550,-60063,-10974,42225,45889
 "08000","Colorado",7,SAGDP3N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",77830,88940,98850,106469,135863,149833,137595,128347,131251,120267,122719,115373,124295,151785,156742,128663,134918,135823,142650,127715,145242,148251,165210,88901,126167,168306,170402
 "08000","Colorado",7,SAGDP3N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",2255,2280,2360,2789,4695,4702,4655,4565,4152,4209,4397,3695,2953,1817,-206,74,3076,3082,3198,3712,4451,4385,5121,-23514,-21735,6403,6765
 "08000","Colorado",7,SAGDP3N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",4092,4587,4462,5343,5276,5002,5019,4245,4488,4148,4846,5153,6197,7492,7692,6524,6573,6503,6718,7397,7628,8080,8931,355,1316,11715,12107
 "08000","Colorado",7,SAGDP3N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",16073,16395,16678,16997,18745,20556,21702,22252,25168,23872,26769,24996,27796,34859,34359,26400,27519,27358,31306,35450,38187,40479,45358,36490,24907,56574,58567
 "08000","Colorado",7,SAGDP3N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",2547,2673,3028,3383,3318,3769,3877,4033,4283,4278,5380,5231,5121,6282,6044,4808,4792,4301,4481,4934,5033,5553,6337,-27154,-17843,6788,7212
 "08000","Colorado",7,SAGDP3N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",10903,10885,11621,11699,14323,15963,17100,17693,17712,18890,20589,20875,21416,27643,31663,23992,47755,45399,44014,23921,24569,25443,28807,-74376,-39816,31823,33667
 "08000","Colorado",7,SAGDP3N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",500383,581294,546732,630000,584113,572363,585920,596878,622189,505682,515998,526260,577423,636774,640041,593602,574297,543255,516936,560558,579541,582798,609227,199151,412514,606821,605174
 "08000","Colorado",7,SAGDP3N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",444513,525500,489647,569992,512542,491948,500027,511734,534554,419555,420167,419983,465679,501090,479012,464090,439226,412334,387646,424200,424102,407806,413870,189132,314643,397182,382449
 "08000","Colorado",7,SAGDP3N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",1918,1973,1944,1959,1807,2173,2505,2569,2649,2667,3372,3552,3911,4489,3891,2999,2797,2448,2053,2805,2928,3023,3363,-6243,-1403,3591,3594
 "08000","Colorado",7,SAGDP3N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",1277,1390,1521,1692,1589,1586,1532,1180,1431,1278,1264,1193,1121,1232,1287,1093,1118,1048,1135,1245,1362,1281,1183,-8123,-6007,1553,1621
 "08000","Colorado",7,SAGDP3N,29,"322","    Paper manufacturing ","Thousands of dollars",8581,6184,7832,7488,7370,8206,9285,7494,7998,6462,6158,6107,6414,7941,7204,5747,5437,4775,4710,4827,5194,5302,5939,-9124,4090,6520,6877
 "08000","Colorado",7,SAGDP3N,30,"323","    Printing and related support activities ","Thousands of dollars",7869,7233,7973,8606,7743,8009,7787,7747,7979,7740,8630,8679,8588,10319,9872,7861,7557,6639,6961,10238,7791,8015,8577,-25270,-25604,9218,9677
