GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "09000","Connecticut",1,SAGDP3N,1,"...","All industry total ","Thousands of dollars",10319936,10965764,11153625,11444165,11438165,11740322,12600389,13005191,13562079,13617508,14394172,14358304,14412639,14507895,15145925,16956314,17144316,17852811,17799051,17855496,18409974,19967381,20146261,11683048,15159990,21835581,23246099
 "09000","Connecticut",1,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",10476563,11099275,11288150,11572429,11567917,11890960,12769132,13188564,13750794,13815839,14588958,14540310,14627441,14716619,15377587,17189104,17379697,18125996,18086141,18143424,18636136,20215582,20404181,12128985,15679906,22474666,23734120
 "09000","Connecticut",1,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",11315,9616,6913,-2193,6567,8666,7210,9485,6880,10345,13080,13098,11711,9653,16903,19473,22244,27518,26246,22629,26609,25826,25804,-40745,4954,22711,31978
 "09000","Connecticut",1,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",9791,7879,5193,-3821,5153,7214,5657,7763,5116,8410,11117,10766,9495,7210,14663,17373,20136,25328,24138,20453,24281,23315,23369,-25121,5766,19863,29212
 "09000","Connecticut",1,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",1524,1737,1719,1628,1414,1453,1554,1721,1764,1935,1963,2331,2215,2444,2240,2100,2108,2190,2108,2176,2327,2510,2434,-15624,-811,2848,2766
 "09000","Connecticut",1,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",6480,7861,8317,8363,6381,6974,7315,7325,7747,8891,8856,9508,9396,8790,8712,9407,9899,11642,12136,14600,14841,14794,15336,6579,9449,16566,18406
 "09000","Connecticut",1,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",322,217,141,115,0,0,0,34,36,25,22,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",5191,6680,7218,7364,5856,6426,6848,6830,7267,8221,8210,8729,8659,7894,7675,8390,8851,10506,11053,13582,13692,13966,14487,6988,8905,15667,17604
 "09000","Connecticut",1,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",966,964,958,884,524,547,466,462,444,646,625,755,732,897,1037,1018,1048,1136,1083,1018,1149,828,849,-409,544,899,802
 "09000","Connecticut",1,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",578541,586819,572825,617984,556917,544862,607843,713860,733035,660378,707180,800899,849548,831307,854833,917951,928878,940870,890839,911028,939515,968924,1015915,1051033,1120162,1170483,1228821
 "09000","Connecticut",1,SAGDP3N,11,"23","  Construction ","Thousands of dollars",64301,71291,74764,77508,69695,73840,74522,84348,87457,83386,90715,88682,86742,82740,86697,90004,91418,99989,104332,109152,112880,114964,119168,-958803,-414232,142829,149573
 "09000","Connecticut",1,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",835334,944799,932623,1016351,1160370,1303550,1425709,1225733,1223809,1238616,1325326,1116066,1150549,1142995,1276857,1287783,1408527,1335265,1314558,1263142,1372769,1389506,1456382,581223,847293,1606011,1661492
 "09000","Connecticut",1,SAGDP3N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",360561,374198,390893,395168,420291,444719,456649,472282,479648,495541,518867,558579,566286,546049,572535,587945,709200,712229,700385,709840,762063,791509,843609,214608,376571,971453,1014311
 "09000","Connecticut",1,SAGDP3N,14,"321","    Wood product manufacturing ","Thousands of dollars",2359,2585,2638,2749,2541,2869,2809,2752,3004,3097,3371,3467,3413,2552,2940,3064,3156,3243,3179,3323,3309,3414,3396,-17662,-10706,4054,4583
 "09000","Connecticut",1,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",8063,8128,8415,8466,7186,7790,7653,8328,8938,9128,10856,11357,12395,11199,11346,11520,11476,12839,13064,13839,14136,14293,14958,-1750,6228,18199,19240
 "09000","Connecticut",1,SAGDP3N,16,"331","    Primary metal manufacturing ","Thousands of dollars",32205,32031,30192,30984,25573,27768,25806,26055,25831,25856,27630,29179,32456,32529,33308,35344,34189,36959,39059,43864,44951,45809,50457,30101,42653,51286,55226
 "09000","Connecticut",1,SAGDP3N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",78960,76692,87944,78079,65799,69776,71981,79338,70541,80351,71905,104194,64375,73645,108180,96250,191511,143827,130800,122501,141638,143150,163421,-59279,19656,181141,178616
 "09000","Connecticut",1,SAGDP3N,18,"333","    Machinery manufacturing ","Thousands of dollars",46400,49707,50339,54584,57818,61281,60792,64068,65413,66064,72238,71914,80455,76951,73306,72074,71763,76253,79905,81839,82740,77935,83897,12064,48703,102444,111733
 "09000","Connecticut",1,SAGDP3N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",52155,55739,52534,60370,67810,69676,67545,67871,71688,71255,74225,76792,82817,79493,81011,83979,86514,97987,96457,94677,95211,94392,94729,12506,46365,99458,105962
 "09000","Connecticut",1,SAGDP3N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",28849,29146,26677,28457,38941,37836,45615,42654,41930,40961,45573,44837,44368,20697,11038,27647,46362,45446,37525,41423,35176,35421,36172,2014,7594,39175,40449
 "09000","Connecticut",1,SAGDP3N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",11510,12542,12366,11816,13579,13789,13832,14944,14031,13749,14781,16359,18477,18661,18095,18222,19004,21589,22030,22820,23434,23320,23347,3779,6736,25543,28803
 "09000","Connecticut",1,SAGDP3N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",78134,83994,89994,96533,111819,122949,127567,132711,142382,148982,161334,163519,186682,190177,189730,194530,200426,216538,222849,246425,280512,311115,328024,291202,230904,397615,412547
 "09000","Connecticut",1,SAGDP3N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",1699,1880,2021,2204,2196,2535,2599,2790,2943,3202,3505,3578,3737,3759,3560,3578,3553,3549,3737,3939,4121,4182,4374,-31690,-21873,5334,5799
 "09000","Connecticut",1,SAGDP3N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",20227,21753,27774,20927,27030,28449,30450,30772,32948,32895,33449,33382,37111,36386,40022,41738,41246,53999,51780,35190,36834,38480,40833,-26679,310,47205,51353
 "09000","Connecticut",1,SAGDP3N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",474772,570601,541730,621183,740078,858830,969060,753450,744161,743075,806459,557486,584263,596946,704322,699838,699327,623036,614174,553303,610706,597996,612773,366615,470722,634557,647181
 "09000","Connecticut",1,SAGDP3N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",296204,381357,341769,412742,454897,565059,669878,437822,415002,391784,416009,181019,183336,193664,197380,209727,208332,165324,164596,181186,165752,157795,165623,46317,91705,136125,128781
 "09000","Connecticut",1,SAGDP3N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",5920,5819,6039,5840,4732,4605,4809,4719,5101,5286,6031,6319,6853,6761,6951,7165,7112,7259,8217,8752,8806,7498,8299,-1984,2701,10130,10882
 "09000","Connecticut",1,SAGDP3N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",2176,2437,1976,1992,1579,1595,2061,2849,2327,1510,2630,1973,1191,1173,1716,1847,2130,2510,2864,3156,3082,1433,1524,-1486,-3046,1609,1732
 "09000","Connecticut",1,SAGDP3N,29,"322","    Paper manufacturing ","Thousands of dollars",26795,27416,26898,28590,26255,28381,30547,28982,27636,27119,27019,26388,25888,24500,24999,24946,25120,25048,24251,24055,25432,25601,27277,23752,28049,32192,34175
 "09000","Connecticut",1,SAGDP3N,30,"323","    Printing and related support activities ","Thousands of dollars",11957,12296,12585,13208,11655,11825,11633,12777,13418,14061,14489,14070,14694,14214,13962,13665,12873,12379,13004,15691,14665,14228,15209,-8458,-23484,18204,18976
 "09000","Connecticut",1,SAGDP3N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",7235,6496,6153,5365,3987,6447,6524,7800,7349,7852,8405,8520,9402,8834,8042,8120,9031,11988,13069,16287,16140,14338,17154,9713,13848,15676,16143
 "09000","Connecticut",1,SAGDP3N,32,"325","    Chemical manufacturing ","Thousands of dollars",109835,119556,131158,138074,221832,224669,227009,241636,255815,277706,312589,299988,323248,328432,431285,414441,414571,378355,367657,282723,353694,353851,353136,319473,348011,394487,409558
 "09000","Connecticut",1,SAGDP3N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",14651,15224,15151,15372,15143,16250,16599,16865,17513,17755,19286,19210,19651,19368,19987,19927,20158,20172,20516,21453,23133,23253,24551,-20711,12938,26135,26933
 "09000","Connecticut",1,SAGDP3N,34,"42","  Wholesale trade ","Thousands of dollars",1578888,1596250,1553333,1553472,1465947,1433956,1512767,1608587,1574694,1603827,1561483,1701745,1600680,1725916,1741997,2036951,2113182,2085495,1954937,1902057,2055529,2221070,2289740,1615465,1959357,2135545,2120948
 "09000","Connecticut",1,SAGDP3N,35,"44-45","  Retail trade ","Thousands of dollars",1458500,1579515,1666808,1664982,1735542,1691601,1734216,1767079,1882844,1712642,1842262,1834047,1735009,1795612,2008935,2526890,2477173,2627707,2589972,2499539,2625900,2901936,3076630,2548598,3382236,3961809,4160546
 "09000","Connecticut",1,SAGDP3N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",111500,129732,137047,148274,101078,118473,109907,111106,126542,124931,140475,136155,123704,103054,142947,167971,164182,176203,192930,208390,185133,188443,204214,-81085,-65026,232575,221034
 "09000","Connecticut",1,SAGDP3N,37,"481","   Air transportation ","Thousands of dollars",35422,45435,52789,64002,31617,60635,45682,68007,73607,69906,72111,70009,65955,57782,72582,77528,71693,83986,98981,105827,79370,87081,93640,-5182,-5521,111735,117777
 "09000","Connecticut",1,SAGDP3N,38,"482","   Rail transportation ","Thousands of dollars",-22163,-16146,-17921,-18979,-18804,-31275,-31210,-42054,-47449,-46662,-41306,-52080,-64445,-80928,-59793,-35620,-33870,-35239,-36262,-32792,-36357,-46309,-42689,-71870,-104666,-61135,-100203
 "09000","Connecticut",1,SAGDP3N,39,"483","   Water transportation ","Thousands of dollars",16842,19491,24113,22522,18613,13945,17443,4781,13445,11881,9191,14122,10448,14549,17777,14515,16993,16923,16602,15194,19230,20405,22571,13559,18925,26233,29314
