GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "10000","Delaware",2,SAGDP3N,1,"...","All industry total ","Thousands of dollars",1484601,1600561,1693159,1878670,1627160,1740448,1888548,2485229,2568213,2675372,2717989,2561531,2565967,2711033,2685535,2884899,3032460,3364549,3468515,3704316,3856938,4161292,4361897,2649144,3123617,4751077,4942578
 "10000","Delaware",2,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",1518576,1630156,1723147,1905187,1657449,1778914,1929726,2526677,2610893,2718698,2760896,2608280,2616120,2765404,2743623,2940683,3089778,3421093,3521415,3763004,3913610,4224631,4426072,2759136,3245585,4903064,5060672
 "10000","Delaware",2,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",3657,-968,-8365,-12483,-14916,-1494,-8003,-5853,-17811,-10901,-8938,-12460,-5546,-12500,-9531,-3726,-2949,6464,5890,-2432,-5356,-990,-20541,-35642,-22293,-6201,4159
 "10000","Delaware",2,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",3106,-1612,-8933,-13118,-15321,-1855,-8435,-6391,-18217,-11388,-9456,-13119,-6265,-13307,-10225,-4641,-3876,5326,4914,-3387,-6345,-2142,-21710,-35449,-22789,-8105,2086
 "10000","Delaware",2,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",550,644,568,634,404,361,433,537,407,487,518,659,719,807,694,915,927,1138,976,955,988,1152,1170,-192,496,1905,2072
 "10000","Delaware",2,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1201,1200,1232,1183,621,764,671,856,328,298,77,101,109,266,25,71,586,670,676,609,755,922,1090,1075,1430,1973,2191
 "10000","Delaware",2,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",516,470,484,505,79,76,101,201,207,199,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0
 "10000","Delaware",2,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",553,599,617,547,535,676,562,646,111,91,69,92,109,36,25,71,581,670,676,609,710,856,963,1075,1430,1973,2136
 "10000","Delaware",2,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",132,131,131,132,7,11,7,9,10,8,8,10,0,0,0,0,5,0,0,0,45,66,127,0,0,0,55
 "10000","Delaware",2,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",105908,111722,105687,119387,93813,117721,117346,121369,122530,134134,125820,108125,119840,125557,111278,113038,116034,169455,194560,202594,208583,229794,252471,312345,302383,309585,313188
 "10000","Delaware",2,SAGDP3N,11,"23","  Construction ","Thousands of dollars",15320,17132,17584,18588,16433,18110,18935,22704,19683,19501,18733,14548,14304,15831,15567,14455,15272,20442,21387,22964,23313,24106,25479,-182222,-67135,30867,32820
 "10000","Delaware",2,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",129345,139719,141078,159229,125811,147320,159634,184200,165292,172147,187078,150586,158375,157187,142302,146492,148253,157184,168402,181611,205361,216901,226582,167317,163654,273695,285586
 "10000","Delaware",2,SAGDP3N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",46076,53283,61187,66348,50687,65333,66535,71992,66795,71733,74886,57722,58356,55844,45157,43986,44446,45431,50034,50741,54444,60945,64142,33100,39578,81293,86063
 "10000","Delaware",2,SAGDP3N,14,"321","    Wood product manufacturing ","Thousands of dollars",790,801,811,765,297,375,507,463,408,383,418,426,522,557,499,442,449,624,663,836,933,835,801,453,-9826,980,1062
 "10000","Delaware",2,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",1432,1741,1590,1178,948,1290,1221,1581,1457,1932,1815,1467,1469,1773,1636,1318,1096,1529,1731,2053,2200,2529,2577,-709,1654,3297,3512
 "10000","Delaware",2,SAGDP3N,16,"331","    Primary metal manufacturing ","Thousands of dollars",2607,2618,2839,2350,2169,2984,2690,2594,2172,2522,3522,3603,4206,3919,4025,3520,3025,1393,1666,2037,2026,1975,1931,2047,278,2180,2302
 "10000","Delaware",2,SAGDP3N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",2997,3155,3715,5406,4406,5971,6900,7452,5978,5749,5687,3988,5302,5558,4340,4277,4139,4041,4012,4034,4094,4720,4436,-682,-125,5781,6045
