GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "15000","Hawaii",8,SAGDP3N,1,"...","All industry total ","Thousands of dollars",3083287,3159530,3200573,3445361,3287299,3495070,3723589,4212974,4647984,5083995,5378979,5367647,5099256,5378642,5760363,6223051,6388628,6811857,7206150,7422886,7931507,8727811,9064375,4688579,4789698,10209777,10132121
 "15000","Hawaii",8,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",3178709,3237077,3271038,3513304,3355285,3572419,3795927,4280153,4720276,5157881,5458737,5447054,5195717,5465284,5856381,6313313,6479588,6914639,7309768,7522953,8029271,8837691,9178261,4904442,5007847,10480375,10339047
 "15000","Hawaii",8,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",5558,5638,5375,-4067,2496,4142,5499,5024,3312,4961,4544,3517,-664,-2641,-2640,2674,1272,-6939,-8222,1751,3190,890,431,-75946,-35614,-2747,-453
 "15000","Hawaii",8,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",4676,4756,4485,-5030,1696,3320,4645,4162,2352,3845,3381,2147,-1963,-3984,-4159,1107,-301,-8491,-9880,-32,1232,-1304,-1844,-72678,-35872,-5652,-3510
 "15000","Hawaii",8,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",882,882,890,963,800,822,854,863,959,1116,1163,1370,1299,1344,1519,1567,1572,1553,1658,1782,1958,2194,2275,-3268,257,2905,3057
 "15000","Hawaii",8,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1447,1396,1357,1548,1156,1121,1400,1607,1814,2028,2343,2777,3003,2881,2985,3173,3229,3402,3984,3672,3423,3643,4248,5089,4933,6079,7030
 "15000","Hawaii",8,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,80,74,113,146,166,221,228,196,167,0,0,16,13,0,0,0
 "15000","Hawaii",8,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",1447,1396,1357,1548,1156,1121,1307,1525,1730,1946,2258,2578,2839,2692,2750,2898,2876,3067,3680,3408,3331,3548,4153,5163,5053,5979,6925
 "15000","Hawaii",8,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,93,81,84,82,84,118,90,76,89,110,131,107,108,97,91,95,79,-87,-120,99,105
 "15000","Hawaii",8,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",144342,144875,146341,144591,141285,142994,147433,159985,180269,213759,233409,230894,267685,299637,262791,307240,312482,343194,348920,333406,309117,322879,349644,379399,361747,400856,418742
